dzīvoklis,квартира
istaba,комната
skapis,шкаф
plaukts,полка
virtuve,кухня (помещение)
ābols,яблоко
bumbieris,груша
ēdnica,столовая
pagalms,двор
veikals,магазин
čeks,чек
valsts,страна
pase,паспорт
stacija,вокзал
teātris,театр
izstāde,выставка
muzejs,музей
mežs,лес
automašīna,автомобиль
bibliotēka,библиотека
reģistratūra,регистратура
slimnīca,больница
ārsts,доктор
ķirurgs,хирург
puika,мальчик
suns,собака
gudrs,умный
muļķīgs,глупый
avīze,газета
žurnāls,журнал
brālis,брат
māsa,сестра
brālēns,двоюродный брат
māsīca,двоюродная сестра
draugs,друг
draudzene,подруга
meitene,девушка
žens,парень
māte,мать
tēvs,отец
jauntājums,вопрос
jūra,море
upe,река
ledus,лед
medus,мед
ne tikai,не только
ola,яйцо
ozols,дуб
nemt,брать
sieva,жена
virs,муж
vecāki,родители
mājdzirnieki,домашние живетные
dzimšanas diena,день рождения
tirdzniecibas centrs,торговый центр
mīlestība,любовь
kārtība,порядок
kas?,кто/что?
uz redzešanos,до встречи
mazliet,немного