man ir dāvana,у меня есть подарок
es dodu dāvanu annai,я даю подарок анне
es dāvinu mašīnu,я дарю машину
manu meitu sauc ilze,мою дочку зовут илзе
manu sievu sauc anna,мою жену зовут анна
manu vīru sauc andris,моего мужа зовут андрис
es dzīvoju miera ielā, я живу на улице мира
es dzīvoju skaistā mājā,я живу в красивом доме
man patīk šī diena,мне нравится этот день
es dzīvoju rīgā,я живу в риге
tev ir taisnība,ты прав
man nav naudas,у меня нет денег
es saku patiesību,я говорю правду
manai mašīnai ir 20 gadi,моей машине 20 лет
es zinu labu vietu,я знаю хорошее место
šī ir laba lieta,это хорошая вещь (дело)
tā lieta ir tāda,дело в том что
es domāju ar galvu,я думаю головой
es dodu daļu manas naudas meitai,я даю часть своих денег дочке
mīlestība ir svarīga,любовь важна
viņš ir bez vainas,он идеальный
vaina,вина
tiesa,суд
tiesai ir taisnība,суд прав
man ir taisnība,я прав
visiem patīk labas ziņas,всем нравятся хороший новости
es tev dodu vēl vienu iespēju,я даю тебе еще одну возможность
tagad ir devītā stunda,сейчас девятый урок
tagad ir vasara,сейчас лето
es saucu policiju,я зову полицию
es lūdzu palīdzību,я прошу о помощи
nauda ir bankā
uzmanību,внимание
palīdzība,помощь
banka,банк
ziņas,новости